"path.mod0","path.mod1","path.mod2","path.mod3","path.mod4","path.mod5"
0.631,0.966,0.977,0.983,0.985,0.988
0.741,0.939,0.981,0.986,0.982,0.987
0.891,0.929,0.983,0.99,0.981,0.99
0.892,0.969,0.975,0.987,0.982,0.987
0.76,0.736,0.99,0.989,0.989,0.992
0.913,0.952,0.981,0.975,0.981,0.983
0.948,0.951,0.984,0.986,0.981,0.987
0.71,0.951,0.985,0.988,0.988,0.991
0.867,0.896,0.987,0.991,0.987,0.993
0.891,0.908,0.984,0.985,0.983,0.988
0.787,0.732,0.98,0.986,0.978,0.987
0.907,0.917,0.985,0.991,0.984,0.992
0.902,0.91,0.991,0.991,0.991,0.992
0.929,0.955,0.981,0.991,0.982,0.992
0.944,0.936,0.988,0.992,0.986,0.991
0.909,0.952,0.982,0.986,0.984,0.989
0.881,0.867,0.97,0.987,0.966,0.986
0.934,0.95,0.98,0.981,0.98,0.983
0.797,0.954,0.982,0.987,0.986,0.988
0.878,0.882,0.986,0.99,0.983,0.99
0.952,0.96,0.988,0.982,0.989,0.988
0.714,0.962,0.984,0.989,0.988,0.991
0.902,0.967,0.986,0.991,0.988,0.992
0.953,0.955,0.991,0.989,0.99,0.991
0.963,0.965,0.988,0.987,0.987,0.99
0.88,0.926,0.978,0.987,0.978,0.988
0.9,0.943,0.977,0.988,0.979,0.988
0.601,0.937,0.975,0.985,0.979,0.986
0.643,0.915,0.984,0.982,0.984,0.987
0.872,0.968,0.984,0.986,0.988,0.989
0.742,0.827,0.986,0.988,0.985,0.99
0.842,0.869,0.972,0.988,0.97,0.989
0.89,0.966,0.975,0.987,0.983,0.988
0.859,0.89,0.983,0.985,0.983,0.988
0.817,0.961,0.983,0.989,0.986,0.99
0.829,0.959,0.989,0.99,0.99,0.993
0.958,0.957,0.985,0.988,0.984,0.988
0.93,0.952,0.983,0.984,0.983,0.987
0.884,0.97,0.985,0.989,0.988,0.991
0.808,0.948,0.974,0.989,0.981,0.99
0.44,0.814,0.983,0.984,0.981,0.987
0.87,0.865,0.989,0.989,0.988,0.992
0.881,0.92,0.979,0.983,0.979,0.984
0.773,0.896,0.986,0.99,0.984,0.99
0.752,0.898,0.981,0.984,0.979,0.985
0.773,0.928,0.977,0.982,0.979,0.987
0.889,0.911,0.985,0.99,0.985,0.99
0.136,0.831,0.983,0.99,0.982,0.991
0.891,0.956,0.982,0.989,0.984,0.99
0.303,0.919,0.985,0.991,0.986,0.992
0.835,0.953,0.983,0.99,0.985,0.989
0.823,0.954,0.983,0.99,0.984,0.99
0.901,0.939,0.985,0.99,0.983,0.99
0.817,0.972,0.98,0.991,0.987,0.991
0.748,0.899,0.978,0.983,0.979,0.987
0.575,0.966,0.977,0.989,0.985,0.99
0.832,0.973,0.976,0.987,0.986,0.989
0.913,0.966,0.985,0.991,0.987,0.992
0.897,0.937,0.981,0.989,0.982,0.99
0.885,0.883,0.987,0.986,0.985,0.989
0.886,0.861,0.988,0.99,0.987,0.991
0.251,0.914,0.986,0.988,0.987,0.99
0.836,0.834,0.988,0.987,0.987,0.99
0.84,0.945,0.988,0.985,0.989,0.99
0.718,0.938,0.98,0.985,0.981,0.985
0.924,0.91,0.989,0.989,0.988,0.991
0.159,0.87,0.977,0.982,0.979,0.986
0.893,0.923,0.984,0.987,0.985,0.99
0.837,0.947,0.974,0.985,0.978,0.987
0.825,0.958,0.987,0.986,0.988,0.989
0.904,0.919,0.983,0.987,0.98,0.988
0.308,0.882,0.982,0.985,0.984,0.986
0.927,0.915,0.974,0.986,0.967,0.985
0.782,0.901,0.979,0.984,0.978,0.985
0.778,0.934,0.988,0.986,0.989,0.991
0.929,0.944,0.984,0.982,0.983,0.987
0.864,0.876,0.987,0.987,0.985,0.989
0.894,0.929,0.98,0.981,0.981,0.985
0.946,0.963,0.985,0.99,0.984,0.99
0.84,0.913,0.988,0.986,0.989,0.991
0.832,0.868,0.987,0.99,0.987,0.992
-0.007,0.95,0.986,0.986,0.989,0.99
0.813,0.958,0.984,0.986,0.986,0.989
0.871,0.919,0.981,0.984,0.982,0.987
0.242,0.658,0.985,0.988,0.984,0.991
0.81,0.911,0.974,0.989,0.975,0.989
0.767,0.837,0.978,0.984,0.977,0.986
0.795,0.738,0.973,0.984,0.973,0.986
0.822,0.955,0.979,0.987,0.983,0.989
0.76,0.647,0.984,0.99,0.983,0.991
-0.021,0.904,0.974,0.987,0.978,0.989
0.757,0.897,0.986,0.989,0.986,0.992
0.763,0.8,0.985,0.989,0.984,0.99
0.63,0.882,0.978,0.986,0.977,0.987
0.849,0.924,0.988,0.99,0.987,0.991
0.824,0.845,0.981,0.97,0.979,0.982
0.705,0.973,0.95,0.991,0.981,0.991
0.819,0.873,0.986,0.986,0.985,0.989
0.946,0.971,0.984,0.99,0.987,0.992
0.93,0.92,0.986,0.988,0.985,0.989
0.92,0.958,0.988,0.989,0.988,0.991
0.096,0.912,0.981,0.984,0.982,0.987
0.962,0.974,0.987,0.989,0.988,0.991
0.948,0.934,0.991,0.99,0.99,0.991
0.891,0.925,0.98,0.986,0.979,0.987
0.947,0.924,0.99,0.989,0.989,0.991
0.875,0.867,0.99,0.991,0.99,0.993
0.938,0.945,0.985,0.989,0.985,0.99
0.689,0.937,0.986,0.985,0.987,0.989
0.922,0.917,0.986,0.985,0.985,0.988
0.935,0.936,0.989,0.99,0.988,0.991
0.234,0.785,0.987,0.979,0.986,0.989
0.929,0.95,0.987,0.987,0.988,0.991
0.666,0.962,0.974,0.984,0.982,0.985
0.874,0.907,0.981,0.989,0.981,0.989
0.822,0.958,0.982,0.988,0.985,0.989
0.742,0.645,0.987,0.984,0.987,0.989
0.92,0.929,0.982,0.987,0.981,0.989
0.904,0.905,0.981,0.984,0.977,0.984
0.901,0.958,0.982,0.989,0.984,0.99
0.873,0.936,0.99,0.99,0.989,0.992
0.594,0.933,0.984,0.988,0.986,0.989
0.904,0.976,0.983,0.992,0.989,0.994
0.956,0.955,0.988,0.989,0.986,0.99
0.955,0.976,0.986,0.988,0.989,0.99
0.636,0.863,0.977,0.985,0.978,0.986
0.641,0.098,0.977,0.985,0.975,0.986
0.801,0.912,0.974,0.987,0.974,0.988
0.844,0.96,0.986,0.99,0.987,0.991
0.898,0.927,0.986,0.986,0.985,0.989
0.852,0.958,0.989,0.991,0.99,0.993
0.811,0.942,0.975,0.987,0.98,0.988
0.898,0.946,0.979,0.992,0.98,0.991
0.927,0.952,0.981,0.991,0.982,0.991
0.827,0.963,0.987,0.992,0.988,0.993
0.912,0.948,0.987,0.988,0.989,0.99
0.651,0.958,0.987,0.987,0.988,0.99
0.881,0.927,0.981,0.985,0.981,0.987
0.452,0.866,0.985,0.986,0.985,0.989
0.87,0.848,0.984,0.983,0.983,0.987
0.928,0.962,0.988,0.988,0.99,0.991
0.768,0.936,0.962,0.984,0.971,0.986
0.705,0.954,0.972,0.987,0.978,0.987
0.842,0.939,0.988,0.99,0.988,0.993
0.955,0.964,0.987,0.985,0.988,0.99
0.884,0.95,0.989,0.991,0.989,0.993
0.399,0.926,0.973,0.983,0.975,0.984
0.895,0.945,0.987,0.988,0.986,0.99
0.897,0.94,0.978,0.984,0.981,0.985
0.635,0.906,0.988,0.988,0.988,0.991
0.863,0.877,0.982,0.986,0.981,0.987
0.823,0.936,0.986,0.989,0.986,0.991
0.923,0.959,0.98,0.983,0.983,0.986
0.802,0.937,0.98,0.99,0.982,0.991
0.942,0.958,0.989,0.99,0.988,0.992
0.899,0.958,0.982,0.992,0.986,0.992
0.916,0.942,0.988,0.988,0.988,0.99
0.207,0.923,0.99,0.991,0.99,0.992
0.534,0.862,0.957,0.984,0.965,0.985
0.931,0.931,0.988,0.99,0.988,0.992
0.892,0.974,0.982,0.99,0.986,0.99
0.899,0.907,0.967,0.985,0.961,0.984
0.931,0.93,0.986,0.991,0.984,0.992
0.857,0.901,0.987,0.987,0.987,0.99
0.626,0.918,0.982,0.987,0.984,0.989
0.775,0.946,0.986,0.986,0.987,0.99
0.884,0.88,0.987,0.982,0.987,0.988
0.707,0.888,0.986,0.99,0.986,0.991
0.515,0.897,0.977,0.986,0.979,0.988
0.859,0.972,0.98,0.991,0.987,0.992
0.885,0.942,0.986,0.985,0.986,0.989
0.953,0.968,0.987,0.99,0.989,0.992
0.468,0.805,0.979,0.989,0.978,0.99
-5.728,0.896,0.985,0.989,0.985,0.99
0.926,0.907,0.988,0.988,0.987,0.99
0.726,0.93,0.984,0.984,0.986,0.989
0.842,0.949,0.977,0.989,0.981,0.99
0.779,0.927,0.986,0.984,0.987,0.989
0.923,0.964,0.98,0.989,0.982,0.989
0.548,0.906,0.987,0.987,0.987,0.99
0.942,0.926,0.984,0.987,0.983,0.989
0.944,0.962,0.985,0.989,0.985,0.991
0.773,0.912,0.979,0.989,0.98,0.988
0.435,0.96,0.979,0.991,0.984,0.991
0.883,0.934,0.981,0.99,0.979,0.99
0.312,0.892,0.982,0.982,0.982,0.985
0.74,0.96,0.986,0.985,0.988,0.989
0.821,0.941,0.982,0.987,0.984,0.989
0.887,0.947,0.988,0.989,0.988,0.991
0.782,0.924,0.978,0.988,0.978,0.988
0.83,0.937,0.983,0.987,0.984,0.988
0.696,0.873,0.981,0.98,0.982,0.985
0.339,0.823,0.987,0.989,0.986,0.991
0.94,0.964,0.978,0.991,0.981,0.991
0.661,0.927,0.98,0.988,0.981,0.989
0.785,0.908,0.98,0.988,0.979,0.988
0.911,0.951,0.991,0.986,0.991,0.992
0.801,0.936,0.988,0.986,0.988,0.991
0.495,0.938,0.982,0.987,0.984,0.988
0.877,0.869,0.989,0.98,0.988,0.989
0.929,0.937,0.99,0.991,0.99,0.992
0.94,0.948,0.986,0.988,0.987,0.99
0.771,0.976,0.977,0.989,0.987,0.99
0.712,0.924,0.981,0.976,0.983,0.983
0.748,0.717,0.978,0.986,0.976,0.987
0.823,0.925,0.983,0.984,0.984,0.988
0.91,0.964,0.989,0.991,0.99,0.993
0.816,0.955,0.977,0.986,0.982,0.989
0.923,0.973,0.986,0.991,0.989,0.992
0.237,0.95,0.982,0.989,0.985,0.991
0.873,0.947,0.977,0.986,0.979,0.986
0.903,0.897,0.988,0.987,0.986,0.991
0.562,0.892,0.986,0.988,0.986,0.99
0.726,0.812,0.986,0.985,0.985,0.988
0.76,0.932,0.985,0.988,0.987,0.99
0.572,0.896,0.977,0.989,0.978,0.989
0.886,0.928,0.988,0.992,0.988,0.993
0.888,0.956,0.986,0.989,0.987,0.991
0.929,0.933,0.983,0.984,0.982,0.985
0.907,0.942,0.983,0.989,0.983,0.99
0.91,0.972,0.984,0.988,0.987,0.99
0.869,0.932,0.983,0.984,0.984,0.988
0.919,0.872,0.982,0.988,0.981,0.989
0.831,0.895,0.984,0.991,0.982,0.991
0.411,0.935,0.984,0.991,0.986,0.992
0.657,0.888,0.972,0.982,0.974,0.984
0.879,0.934,0.987,0.988,0.987,0.99
0.894,0.946,0.987,0.991,0.985,0.991
0.893,0.888,0.983,0.991,0.982,0.991
0.856,0.93,0.984,0.991,0.984,0.992
0.947,0.975,0.985,0.99,0.988,0.991
0.885,0.964,0.988,0.987,0.99,0.991
0.774,0.955,0.982,0.987,0.986,0.99
0.656,0.855,0.982,0.988,0.982,0.989
0.916,0.876,0.982,0.99,0.98,0.989
0.546,0.925,0.976,0.988,0.979,0.988
0.786,0.947,0.983,0.989,0.986,0.991
-0.132,0.747,0.982,0.988,0.983,0.99
0.868,0.962,0.987,0.991,0.988,0.993
0.797,0.86,0.978,0.983,0.978,0.985
