"","CO_I1","CO_I2","CO_I3","CO_I4","CO_I5","CO_I6","CO_I7","CO_I8","CO_I9","RS_I1","RS_I2","RS_I3","RS_I4","RS_I5","RS_I6","RS_I7","RS_I8","RS_I9","RS_I10","LOT_I1","LOT_I2","LOT_I3","LOT_I4","LOT_I5","LOT_I6","LOT_I7","LOT_I8","LOT_I9","LOT_I10","GPA"
"1",4,4,4,4,3,4,3,3,2,3,3,3,3,3,3,3,3,4,3,4,3,3,4,5,4,3,5,2,5,2.81
"2",4,4,4,3,3,4,3,3,3,3,4,3,4,3,3,3,3,4,4,2,4,4,4,4,2,4,4,4,3,3.59
"3",3,2,4,2,2,4,3,3,1,3,3,3,3,3,3,3,2,3,3,5,5,1,3,5,2,3,2,2,2,3.59
"4",3,4,4,4,4,4,4,3,3,3,4,4,3,3,4,4,4,4,3,3,4,4,5,5,3,4,5,4,3,3.77
"6",3,2,3,4,2,3,3,4,3,3,4,4,3,4,3,3,4,4,3,5,5,3,5,5,5,4,5,4,5,2.81
"8",3,3,3,2,3,3,3,3,1,3,4,3,3,4,3,3,3,4,3,3,4,3,3,5,5,4,4,5,4,3.25
"9",4,4,4,4,3,4,4,4,3,3,3,3,3,3,2,3,2,3,3,3,4,2,3,4,4,3,2,4,5,3.44
"10",4,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,4,3,3,2,4,4,5,5,3,3,3,3,2.81
"11",3,3,3,4,2,3,2,3,2,3,3,3,3,3,3,3,2,3,3,4,3,4,3,5,3,3,2,2,4,2.94
"12",4,1,4,4,4,4,3,4,3,1,2,2,4,3,1,3,1,2,1,1,3,1,1,5,5,1,1,1,1,3.55
"13",4,4,4,3,2,4,4,4,4,3,4,3,4,3,3,3,2,4,4,3,4,3,4,5,3,2,4,1,3,4.11
"15",2,3,3,2,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,2,5,4,4,5,3,4,3.46
"16",4,4,3,2,2,4,3,2,3,3,4,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,4,4,4,3.85
"17",3,3,4,3,3,4,4,3,2,3,4,3,3,4,4,4,4,4,4,4,4,2,4,4,5,3,3,4,4,3.46
"18",4,4,4,4,4,3,3,3,3,3,2,4,3,3,3,3,4,4,4,4,3,4,4,5,5,4,4,4,4,3.9
"19",2,4,3,3,2,3,3,4,1,4,4,3,4,4,4,3,3,4,3,4,4,4,4,5,3,4,4,4,4,3.81
"20",3,3,4,2,3,3,2,3,1,3,1,2,3,2,2,1,2,2,2,2,2,3,4,4,4,3,1,2,3,3.68
"21",4,3,3,4,2,3,1,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,4,4,3,3,3.46
"22",2,2,3,3,2,4,3,2,2,3,3,3,3,3,3,3,3,4,4,4,4,3,3,4,2,2,4,2,4,3.03
"23",3,3,4,2,2,3,3,3,2,3,3,3,3,3,3,3,3,4,3,1,2,3,4,5,4,3,2,3,2,3.42
"24",4,3,4,2,3,4,3,3,4,3,4,4,4,4,4,4,4,4,3,4,5,4,4,4,3,5,4,5,5,3.68
"26",4,4,3,2,1,3,4,3,4,3,4,4,3,3,4,4,4,4,4,1,5,4,2,4,4,3,5,3,3,3.03
"27",1,1,1,1,3,3,3,3,1,4,3,4,4,3,2,2,2,3,1,1,3,4,3,3,2,3,3,2,3,3.81
"28",3,4,4,4,3,3,3,4,3,3,4,3,3,3,3,3,3,4,3,4,3,3,4,4,4,4,3,4,4,3.25
"29",3,4,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,5,4,3,4,4,5,3.25
"30",2,2,2,3,2,2,2,2,2,3,4,3,3,3,3,3,2,3,3,4,2,2,3,2,4,2,2,4,4,3.59
"31",3,3,3,3,3,4,3,4,2,2,3,3,2,2,2,2,3,3,3,2,2,2,3,4,3,3,1,3,2,3.25
"32",3,2,3,3,2,3,2,3,3,3,3,2,4,3,2,2,2,3,2,2,4,2,3,4,4,3,2,4,2,3.25
"33",3,4,4,3,3,3,3,2,3,3,4,3,3,4,3,3,3,4,3,4,3,2,4,4,3,4,2,4,4,2.9
"34",2,3,2,3,3,3,2,4,3,3,3,3,3,3,3,4,3,4,3,2,5,3,2,5,4,4,4,3,4,3.46
"35",2,3,3,3,2,2,3,3,1,3,3,3,2,3,3,3,3,3,3,2,2,4,4,4,3,2,4,4,4,2.9
"37",3,3,4,3,2,4,2,3,1,3,3,3,3,2,2,3,2,3,3,1,2,2,2,4,3,2,2,2,2,3.38
"38",3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,1,3,3,4,3,3,2,3,3,2.94
"39",2,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,4,3,1,3,4,3.25
"40",3,3,4,4,3,2,3,4,3,3,4,3,3,3,2,3,2,2,3,2,1,3,3,5,4,3,2,2,4,3.2
"41",3,3,4,3,3,4,3,3,2,3,3,3,3,3,3,3,2,3,2,3,2,5,4,4,3,4,4,4,4,3.9
"43",4,3,4,3,3,2,3,3,2,3,3,2,3,2,2,2,2,3,3,3,2,2,2,5,4,2,2,3,2,3.46
"44",2,2,3,3,2,3,2,3,2,2,3,3,3,3,2,2,2,3,3,2,3,4,3,5,4,3,3,3,3,3.12
"45",3,3,4,4,4,3,4,4,3,3,3,3,3,4,3,3,3,4,3,4,4,4,4,4,4,4,2,5,4,3.25
"46",3,3,1,4,3,3,4,4,1,4,1,3,4,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3.64
"47",4,4,4,3,4,4,4,4,3,3,3,4,4,3,2,3,4,4,4,3,4,3,4,4,5,4,4,5,1,3.85
"48",3,4,4,4,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3,4,4,3,3,3,3,3,3.55
"49",3,3,4,4,3,3,3,3,2,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,4,2,2,3,3,3.03
"50",3,2,3,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,2,4,3,4,4.03
"52",3,4,4,2,3,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4,3,4,4,5,5,4,4,3,4,3.12
"53",3,3,3,3,3,3,2,2,2,3,4,3,3,3,4,3,4,4,4,4,4,2,5,4,3,4,4,5,5,3.68
"54",3,3,4,2,3,2,3,2,1,4,4,3,3,3,4,3,4,4,4,4,2,4,5,4,5,4,4,4,4,3.25
"55",3,3,3,4,3,1,2,2,2,2,2,2,3,3,2,3,2,3,3,5,3,3,3,4,4,3,3,2,2,3.29
"56",3,2,3,3,3,4,4,2,2,3,4,3,3,3,2,3,2,4,4,2,4,2,4,4,4,2,3,2,4,3.38
"57",3,3,3,2,2,3,3,2,1,2,2,3,3,3,2,2,2,2,2,2,3,4,2,4,2,2,2,3,3,3.72
"58",4,3,4,4,2,3,4,3,4,3,3,3,3,3,3,3,4,3,3,3,4,3,3,4,4,3,3,3,3,2.99
"59",3,4,4,3,4,3,2,3,4,3,3,3,3,3,2,3,2,3,2,1,2,2,2,4,4,2,2,4,2,3.25
"60",4,4,4,3,2,4,4,3,3,3,4,3,4,4,4,3,4,4,3,3,4,4,4,5,3,4,4,4,5,3.16
"61",4,3,4,3,3,4,3,4,2,3,4,3,3,4,3,3,2,4,3,5,2,3,4,5,3,5,2,4,4,3.9
"63",3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,2,4,5,4,4,4,3,4,3.68
"64",3,1,3,2,2,4,3,3,2,3,3,3,3,3,3,3,4,4,3,4,3,3,3,5,5,4,3,4,4,3.98
"66",3,4,4,2,4,3,3,4,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,4,2,1,2,2,3.38
"67",4,4,4,2,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,2,3,3,3,4,4,3,3,3,3,3.12
"68",3,2,4,4,4,4,3,4,4,3,4,3,3,3,3,3,3,4,3,5,4,2,4,5,4,3,4,3,3,3.57
"69",3,3,2,2,3,2,3,2,3,3,2,4,1,3,3,3,3,2,2,3,3,3,3,4,4,4,3,1,2,3.25
"70",3,2,3,4,3,3,3,2,1,4,4,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3.68
"71",4,4,4,3,4,4,4,3,3,3,3,3,2,3,2,3,2,3,3,3,1,3,4,5,4,3,3,2,4,3.9
"72",4,4,4,3,3,3,3,3,3,3,4,4,3,4,3,4,4,4,4,3,4,4,4,5,5,4,3,3,4,3.25
"73",3,2,3,3,2,3,3,2,3,3,3,3,3,3,3,3,2,3,3,4,4,2,4,4,2,3,3,4,4,3.25
"74",2,2,3,3,1,3,3,2,2,4,3,3,3,3,3,3,4,4,3,4,4,3,5,5,2,4,4,4,5,3.9
"76",4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,4,3,4,4,3,5,4,5,4,2,3,4,3.38
"77",3,1,3,1,2,3,2,2,1,3,3,3,4,3,3,3,3,3,3,2,4,2,3,3,1,4,3,4,4,4.01
